timestamp_utc,dataset,noise,rounds,mode,leakage_acc,leakage_auc,accuracy
2026-03-18T23:21:00Z,Admin-Category,0.0,50,With DP (sigma=0.0),0.0695,0.0056,0.9802
2026-03-18T23:27:04Z,Admin-Category,0.05,50,With DP (sigma=0.05),0.0,0.0,1.0
2026-03-18T23:33:34Z,Admin-Category,0.1,50,With DP (sigma=0.1),0.0037,0.0,0.9951
2026-03-18T23:38:59Z,Admin-Category,0.2,50,With DP (sigma=0.2),0.0,0.0,1.0
2026-03-18T23:46:07Z,Admin-Category,0.3,50,With DP (sigma=0.3),0.0,0.0,0.9701
2026-03-18T23:54:22Z,Admin-Category,0.5,50,With DP (sigma=0.5),0.0,0.0,0.9059
