noise,accuracy,epsilon,leakage
0.05,0.9568,3411.78,0.0324
0.1,1.0000,936.78,0.0000
0.2,0.9136,279.79,0.0335
0.3,0.8519,143.36,0.0240
0.5,0.7531,65.42,0.0457
