timestamp_utc,dataset,noise,rounds,mode,leakage_acc,leakage_auc,accuracy
2026-03-18T18:39:56Z,Thyroid,0.0,30,With DP (sigma=0.0),0.0000,0.0000,0.8973
2026-03-18T18:45:20Z,Thyroid,0.1,30,With DP (sigma=0.1),0.0063,0.0038,0.8254
2026-03-18T18:50:38Z,Thyroid,0.25,30,With DP (sigma=0.25),0.0039,0.0032,0.8070
2026-03-18T18:56:06Z,Thyroid,0.5,30,With DP (sigma=0.5),0.0000,0.0000,0.8010
2026-03-18T19:02:12Z,Thyroid,0.75,30,With DP (sigma=0.75),0.0056,0.0059,0.7729
2026-03-18T19:06:53Z,Thyroid,1.0,30,With DP (sigma=1.0),0.0031,0.0089,0.7635
2026-03-18T19:13:08Z,Thyroid,1.25,30,With DP (sigma=1.25),0.0132,0.0116,0.7415
2026-03-18T19:19:19Z,Thyroid,1.5,30,With DP (sigma=1.5),0.0000,0.0000,0.7387
