timestamp_utc,dataset,noise,rounds,accuracy,epsilon,leakage_acc,leakage_auc
2026-03-18T19:28:23Z,Thyroid,0.1,100,0.7909,585.94,0.0011,0.0000
2026-03-18T19:34:39Z,Thyroid,0.25,100,0.7872,111.50,0.0008,0.0000
2026-03-18T19:42:50Z,Thyroid,0.5,100,0.7542,34.24,0.0044,0.0000
2026-03-18T19:51:21Z,Thyroid,0.75,100,0.7321,17.89,0.0061,0.0000
2026-03-18T19:59:52Z,Thyroid,1.0,100,0.7003,12.30,0.0070,0.0020
2026-03-18T20:10:07Z,Thyroid,1.25,100,0.6879,9.37,0.0086,0.0015
2026-03-18T20:17:58Z,Thyroid,1.5,100,0.6639,6.44,0.0095,0.0039
