noise,accuracy,epsilon,leakage
0.1,0.8592,1060.10,0.0000
0.25,0.8614,177.72,0.0000
0.5,0.8405,51.03,0.0000
0.75,0.8071,27.81,0.0124
1.0,0.8038,19.05,0.0118
1.25,0.8005,14.34,0.0048
1.5,0.7940,11.44,0.0047
