noise,accuracy,epsilon,leakage_acc,leakage_auc
0.1,0.9134,654.86,0.0156,0.0182
0.25,0.9272,138.69,0.0000,0.0000
0.5,0.9356,48.80,0.0000,0.0117
0.75,0.9342,27.81,0.0000,0.0111
1.0,0.9307,19.05,0.0000,0.0029
1.25,0.9141,14.34,0.0147,0.0000
1.5,0.9362,11.44,0.0000,0.0000
