timestamp_utc,dataset,noise,rounds,accuracy,epsilon,leakage_acc,leakage_auc
2026-03-16T17:44:30Z,SUPPORT2-Death,0.1,100,0.7600,354.86,0.1031,0.0000
2026-03-16T17:48:20Z,SUPPORT2-Death,0.25,100,0.6400,81.12,0.0000,0.0058
2026-03-16T17:52:10Z,SUPPORT2-Death,0.5,100,0.6400,30.13,0.0000,0.0425
2026-03-16T17:56:00Z,SUPPORT2-Death,0.75,100,0.6400,17.66,0.0000,0.1020
2026-03-16T17:59:50Z,SUPPORT2-Death,1.0,100,0.6400,12.30,0.0000,0.1030
2026-03-16T18:03:40Z,SUPPORT2-Death,1.25,100,0.6400,9.37,0.0000,0.0000
2026-03-16T18:07:31Z,SUPPORT2-Death,1.5,100,0.6400,7.53,0.0000,0.0000
