timestamp_utc,dataset,noise,rounds,mode,leakage_acc,leakage_auc,accuracy
2026-03-16T16:39:00Z,SUPPORT2-Death,0,20,No Privacy (Baseline),0.0793,0.0716,0.7797
2026-03-16T16:41:26Z,SUPPORT2-Death,0.1,20,With DP (sigma=0.1),0.0101,0.0056,0.7602
2026-03-16T16:43:53Z,SUPPORT2-Death,0.25,20,With DP (sigma=0.25),0.0047,0.0034,0.7511
2026-03-16T16:47:22Z,SUPPORT2-Death,0.5,20,With DP (sigma=0.5),0.0000,0.0035,0.7486
2026-03-16T16:49:30Z,SUPPORT2-Death,0.75,20,With DP (sigma=0.75),0.0025,0.0004,0.7498
2026-03-16T16:52:00Z,SUPPORT2-Death,1.0,20,With DP (sigma=1.0),0.0057,0.0049,0.7389
2026-03-16T16:54:31Z,SUPPORT2-Death,1.25,20,With DP (sigma=1.25),0.0061,0.0016,0.7334
2026-03-16T16:56:58Z,SUPPORT2-Death,1.5,20,With DP (sigma=1.5),0.0022,0.0000,0.7450
