Mode,leakage,accuracy
No Privacy (Baseline),0.1013,0.8734
With DP (sigma=0.05),0.0346,0.9114
With DP (sigma=0.1),0.0000,0.9367
With DP (sigma=0.2),0.0851,0.8544
With DP (sigma=0.3),0.0045,0.9241
With DP (sigma=0.5),0.0000,0.9304
