noise,accuracy,epsilon,leakage
0.05,0.9255,5611.78,0.0259
0.1,0.9193,1486.78,0.0338
0.2,0.9068,429.86,0.0332
0.3,0.9255,216.59,0.0090
0.5,0.9130,96.12,0.0240
