Mode,leakage_acc,leakage_auc,accuracy
No Privacy (Baseline),0.0011,0.0039,0.8669
With DP (sigma=0.5),0.0000,0.0000,0.8633
With DP (sigma=0.75),0.0011,0.0034,0.8604
With DP (sigma=1.0),0.0000,0.0014,0.8615
With DP (sigma=1.25),0.0001,0.0053,0.8607
With DP (sigma=1.5),0.0002,0.0000,0.8606
